size,ranks,swthreads,time
10000,2,1,79.0892
10000,2,1,79.0221
10000,2,1,78.8809
10000,2,1,78.9371
10000,2,1,79.1235
10000,2,8,13.906
10000,2,8,12.6828
10000,2,8,13.08
10000,2,8,12.6138
10000,2,8,13.8121
10000,2,16,7.16421
10000,2,16,7.88414
10000,2,16,8.03412
10000,2,16,8.32417
10000,2,16,7.17326
10000,2,24,6.05335
10000,2,24,6.89254
10000,2,24,6.05935
10000,2,24,5.74693
10000,2,24,6.83563
10000,2,32,5.96055
10000,2,32,4.88968
10000,2,32,5.18255
10000,2,32,5.68967
10000,2,32,5.90279
10000,2,40,4.85404
10000,2,40,4.90988
10000,2,40,5.49361
10000,2,40,5.43433
10000,2,40,5.26261
10000,2,48,4.06415
10000,2,48,5.02956
10000,2,48,5.03355
10000,2,48,4.05897
10000,2,48,4.85061
10000,2,56,4.49185
10000,2,56,4.20956
10000,2,56,4.10198
10000,2,56,4.91062
10000,2,56,4.17073
10000,2,64,4.00932
10000,2,64,4.7467
10000,2,64,3.94413
10000,2,64,4.65022
10000,2,64,4.70215
