size,time,gflops
2000,0.053996,296.319590
2000,0.055071,290.534349
2000,0.056593,282.718010
2000,0.053870,297.012211
2000,0.055636,287.582654
2000,0.061845,258.710307
4000,0.206664,619.363265
4000,0.225948,566.502912
4000,0.214409,596.990224
4000,0.227672,562.211419
4000,0.233891,547.264164
4000,0.238423,536.860333
6000,0.814377,530.466976
6000,0.811499,532.348293
6000,0.828103,521.673940
6000,0.822423,525.276829
6000,0.827618,521.979979
6000,0.820228,526.682507
8000,1.958224,522.922889
8000,1.952336,524.499797
8000,1.930123,530.536028
8000,1.943790,526.805812
8000,1.931745,530.090677
8000,1.965340,521.029505
10000,3.098878,645.394859
10000,3.149410,635.039663
10000,3.131526,638.666194
10000,3.109997,643.087503
10000,3.090445,647.155987
10000,3.105608,643.996289
12000,4.738897,729.283624
12000,4.737176,729.548609
12000,4.707859,734.091601
12000,4.726581,731.183880
12000,4.800955,719.856816
12000,4.708800,733.944881
14000,5.845294,938.874980
14000,5.442187,1008.418049
14000,6.808127,806.095474
14000,6.827462,803.812640
14000,6.814464,805.345828
14000,7.033725,780.240868
16000,9.425853,869.099032
16000,9.418400,869.786776
16000,9.384853,872.895965
16000,9.376294,873.692752
16000,9.353934,875.781225
16000,9.416072,870.001867
18000,14.104811,826.951885
18000,14.121295,825.986584
18000,14.152772,824.149491
18000,14.097199,827.398434
18000,14.100665,827.195016
18000,14.115257,826.339888
20000,17.257750,927.119701
20000,17.503207,914.118170
20000,17.487304,914.949514
20000,17.984751,889.642580
20000,18.243627,877.018611
20000,18.402017,869.469910
22000,23.713731,898.045118
22000,23.368939,911.295099
22000,21.293584,1000.113466
22000,23.456191,907.905293
22000,21.099628,1009.306908
22000,21.052766,1011.553540
24000,28.440049,972.150229
24000,28.462069,971.398098
24000,28.457326,971.559998
24000,21.444686,1289.270473
24000,28.509389,969.785772
24000,28.608975,966.410024
26000,39.334926,893.658727
26000,39.313965,894.135198
26000,39.288543,894.713767
26000,38.068936,923.377521
26000,39.260755,895.347029
26000,39.226669,896.125038
28000,39.231724,1119.094327
28000,41.270058,1063.822106
28000,39.147481,1121.502560
28000,41.798837,1050.364141
28000,37.736242,1163.443894
28000,38.599246,1137.431553
