cores,size,time,gflops
1,10000,28.708932,69.664731
1,10000,28.740000,69.589423
1,10000,28.892507,69.222100
1,10000,28.691924,69.706026
1,10000,28.915254,69.167645
2,10000,17.041525,117.360388
2,10000,17.301057,115.599874
2,10000,17.077969,117.109944
2,10000,16.992734,117.697366
2,10000,17.140426,116.683215
4,10000,8.182045,244.437656
4,10000,7.982911,250.535186
4,10000,7.962444,251.179163
4,10000,7.972399,250.865508
4,10000,8.034201,248.935764
8,10000,3.967728,504.066807
8,10000,3.954334,505.774199
8,10000,3.966371,504.239223
8,10000,3.979403,502.587900
8,10000,3.950565,506.256646
12,10000,2.660513,751.734620
12,10000,2.638847,757.906833
12,10000,2.662882,751.065867
12,10000,2.655081,753.272765
12,10000,2.661045,751.584530
16,10000,1.964360,1018.143463
16,10000,1.963170,1018.760414
16,10000,1.955871,1022.562301
16,10000,1.985020,1007.546621
16,10000,1.984574,1007.773076
20,10000,1.598921,1250.843272
20,10000,1.594546,1254.275258
20,10000,1.603885,1246.972027
20,10000,1.589195,1258.498664
20,10000,1.624881,1230.859417
24,10000,1.422500,1405.974928
24,10000,1.421726,1406.741189
24,10000,1.425363,1403.150854
24,10000,1.425834,1402.688096
24,10000,1.428384,1400.183393
